subj_id,date,experimenter,computer,block_ix,trial_ix,sound_id,word,sound_category,word_category,word_type,correct_response,response,rt,is_correct
LSN139,2016_Dec_02_1558,,LL-Kramer,1,1,37,da da da,glass,glass,last_gen_imitation,1,0,8408.6999381,False
LSN139,2016_Dec_02_1558,,LL-Kramer,1,2,37,da da da,glass,glass,last_gen_imitation,1,1,379.365973175,True
LSN139,2016_Dec_02_1558,,LL-Kramer,1,3,45,eeverlusha,water,water,last_gen_imitation,1,0,1098.78751449,False
LSN139,2016_Dec_02_1558,,LL-Kramer,1,4,45,izzip,water,zipper,last_gen_imitation,0,0,6723.08780625,True
LSN139,2016_Dec_02_1558,,LL-Kramer,1,5,38,da da da,tear,glass,last_gen_imitation,0,0,2024.31053482,True
LSN139,2016_Dec_02_1558,,LL-Kramer,1,6,45,eeverlusha,water,water,last_gen_imitation,1,1,505.145702511,True
LSN139,2016_Dec_02_1558,,LL-Kramer,1,7,38,sheah,tear,tear,last_gen_imitation,1,0,1016.57693647,False
LSN139,2016_Dec_02_1558,,LL-Kramer,1,8,49,sheah,zipper,tear,last_gen_imitation,0,1,1820.69388218,False
LSN139,2016_Dec_02_1558,,LL-Kramer,1,9,37,sheah,glass,tear,last_gen_imitation,0,0,883.309753612,True
LSN139,2016_Dec_02_1558,,LL-Kramer,1,10,49,izzip,zipper,zipper,last_gen_imitation,1,1,1676.59370787,True
LSN139,2016_Dec_02_1558,,LL-Kramer,1,11,38,sheah,tear,tear,last_gen_imitation,1,0,1445.41700836,False
LSN139,2016_Dec_02_1558,,LL-Kramer,1,12,37,da da da,glass,glass,last_gen_imitation,1,1,861.095782369,True
LSN139,2016_Dec_02_1558,,LL-Kramer,1,13,38,da da da,tear,glass,last_gen_imitation,0,0,885.936699808,True
LSN139,2016_Dec_02_1558,,LL-Kramer,1,14,49,izzip,zipper,zipper,last_gen_imitation,1,1,415.187442675,True
LSN139,2016_Dec_02_1558,,LL-Kramer,1,15,49,da da da,zipper,glass,last_gen_imitation,0,0,617.065067403,True
LSN139,2016_Dec_02_1558,,LL-Kramer,1,16,45,eeverlusha,water,water,last_gen_imitation,1,1,490.225532092,True
LSN139,2016_Dec_02_1558,,LL-Kramer,1,17,49,izzip,zipper,zipper,last_gen_imitation,1,1,597.27094695,True
LSN139,2016_Dec_02_1558,,LL-Kramer,1,18,38,sheah,tear,tear,last_gen_imitation,1,1,1046.22042365,True
LSN139,2016_Dec_02_1558,,LL-Kramer,1,19,49,sheah,zipper,tear,last_gen_imitation,0,0,686.765721999,True
LSN139,2016_Dec_02_1558,,LL-Kramer,1,20,38,da da da,tear,glass,last_gen_imitation,0,0,716.529563069,True
LSN139,2016_Dec_02_1558,,LL-Kramer,1,21,37,da da da,glass,glass,last_gen_imitation,1,1,617.296169512,True
LSN139,2016_Dec_02_1558,,LL-Kramer,1,22,37,da da da,glass,glass,last_gen_imitation,1,1,580.853093415,True
LSN139,2016_Dec_02_1558,,LL-Kramer,1,23,45,eeverlusha,water,water,last_gen_imitation,1,1,426.13374535,True
LSN139,2016_Dec_02_1558,,LL-Kramer,1,24,45,eeverlusha,water,water,last_gen_imitation,1,1,781.535516493,True
LSN139,2016_Dec_02_1558,,LL-Kramer,2,25,40,sheah,tear,tear,last_gen_imitation,1,1,1596.81226313,True
LSN139,2016_Dec_02_1558,,LL-Kramer,2,26,43,eeverlusha,water,water,last_gen_imitation,1,1,1211.4773253,True
LSN139,2016_Dec_02_1558,,LL-Kramer,2,27,43,eeverlusha,water,water,last_gen_imitation,1,1,466.132656671,True
LSN139,2016_Dec_02_1558,,LL-Kramer,2,28,43,da da da,water,glass,last_gen_imitation,0,1,1981.69555981,False
LSN139,2016_Dec_02_1558,,LL-Kramer,2,29,40,izzip,tear,zipper,last_gen_imitation,0,1,362.137982622,False
LSN139,2016_Dec_02_1558,,LL-Kramer,2,30,36,da da da,glass,glass,last_gen_imitation,1,1,1208.89359061,True
LSN139,2016_Dec_02_1558,,LL-Kramer,2,31,47,sheah,zipper,tear,last_gen_imitation,0,0,1707.43591897,True
LSN139,2016_Dec_02_1558,,LL-Kramer,2,32,40,sheah,tear,tear,last_gen_imitation,1,1,991.9764027,True
LSN139,2016_Dec_02_1558,,LL-Kramer,2,33,40,sheah,tear,tear,last_gen_imitation,1,1,307.588279247,True
LSN139,2016_Dec_02_1558,,LL-Kramer,2,34,47,da da da,zipper,glass,last_gen_imitation,0,0,762.275619432,True
LSN139,2016_Dec_02_1558,,LL-Kramer,2,35,47,izzip,zipper,zipper,last_gen_imitation,1,1,606.270805933,True
LSN139,2016_Dec_02_1558,,LL-Kramer,2,36,36,sheah,glass,tear,last_gen_imitation,0,0,662.193997763,True
LSN139,2016_Dec_02_1558,,LL-Kramer,2,37,40,eeverlusha,tear,water,last_gen_imitation,0,0,783.777719364,True
LSN139,2016_Dec_02_1558,,LL-Kramer,2,38,36,da da da,glass,glass,last_gen_imitation,1,1,354.301637039,True
LSN139,2016_Dec_02_1558,,LL-Kramer,2,39,47,izzip,zipper,zipper,last_gen_imitation,1,1,395.848164335,True
LSN139,2016_Dec_02_1558,,LL-Kramer,2,40,40,eeverlusha,tear,water,last_gen_imitation,0,0,978.546873666,True
LSN139,2016_Dec_02_1558,,LL-Kramer,2,41,43,eeverlusha,water,water,last_gen_imitation,1,1,1047.77540173,True
LSN139,2016_Dec_02_1558,,LL-Kramer,2,42,47,izzip,zipper,zipper,last_gen_imitation,1,1,1477.763623,True
LSN139,2016_Dec_02_1558,,LL-Kramer,2,43,36,eeverlusha,glass,water,last_gen_imitation,0,0,1314.79501724,True
LSN139,2016_Dec_02_1558,,LL-Kramer,2,44,47,da da da,zipper,glass,last_gen_imitation,0,0,478.260716423,True
LSN139,2016_Dec_02_1558,,LL-Kramer,2,45,43,sheah,water,tear,last_gen_imitation,0,0,729.78528589,True
LSN139,2016_Dec_02_1558,,LL-Kramer,2,46,36,da da da,glass,glass,last_gen_imitation,1,1,455.061200075,True
LSN139,2016_Dec_02_1558,,LL-Kramer,2,47,36,da da da,glass,glass,last_gen_imitation,1,1,418.246504851,True
LSN139,2016_Dec_02_1558,,LL-Kramer,2,48,43,da da da,water,glass,last_gen_imitation,0,1,688.103041612,False
LSN139,2016_Dec_02_1558,,LL-Kramer,3,49,39,izzip,tear,zipper,last_gen_imitation,0,1,594.31847278,False
LSN139,2016_Dec_02_1558,,LL-Kramer,3,50,46,izzip,zipper,zipper,last_gen_imitation,1,1,365.044363774,True
LSN139,2016_Dec_02_1558,,LL-Kramer,3,51,44,da da da,water,glass,last_gen_imitation,0,0,1484.72229391,True
LSN139,2016_Dec_02_1558,,LL-Kramer,3,52,39,sheah,tear,tear,last_gen_imitation,1,1,711.039767601,True
LSN139,2016_Dec_02_1558,,LL-Kramer,3,53,46,da da da,zipper,glass,last_gen_imitation,0,0,511.866229586,True
