"message_type","seed_id","category","word"
"first_gen_imitation",34,"glass","d-d-d"
"first_gen_imitation",34,"glass","dengdinning"
"first_gen_imitation",34,"glass","dicdicdic"
"first_gen_imitation",34,"glass","dingdingding"
"first_gen_imitation",34,"glass","dingdingling"
"first_gen_imitation",34,"glass","taateh"
"first_gen_imitation",34,"glass","tah tah teh"
"first_gen_imitation",34,"glass","tendingping"
"first_gen_imitation",34,"glass","tingtangtang"
"first_gen_imitation",34,"glass","tingtangting"
"first_gen_imitation",34,"glass","tingtingting"
"first_gen_imitation",34,"glass","tititic"
"first_gen_imitation",34,"glass","titituh"
"first_gen_imitation",36,"glass","dirrng"
"first_gen_imitation",37,"glass","boonk"
"first_gen_imitation",38,"tear","phfffft"
"first_gen_imitation",38,"tear","scheeept"
"first_gen_imitation",39,"tear","ashey"
"first_gen_imitation",39,"tear","cui-shi-shhht"
"first_gen_imitation",39,"tear","feeshefee"
"first_gen_imitation",39,"tear","pewuufth"
"first_gen_imitation",40,"tear","choo"
"first_gen_imitation",40,"tear","hhhweerrr"
"first_gen_imitation",40,"tear","hshiew"
"first_gen_imitation",41,"tear","ccccchhhhyeaahh"
"first_gen_imitation",41,"tear","chaaaaa"
"first_gen_imitation",41,"tear","fffhhhhhttt"
"first_gen_imitation",41,"tear","heshroo"
"first_gen_imitation",41,"tear","pcht"
"first_gen_imitation",41,"tear","pshhht"
"first_gen_imitation",41,"tear","shuwuhuhshw"
"first_gen_imitation",42,"water","boococucuwich"
"first_gen_imitation",43,"water","chwoochwooochwooo"
"first_gen_imitation",43,"water","fshfshfsh"
"first_gen_imitation",44,"water","ashtoosh"
"first_gen_imitation",44,"water","atoadelchoo"
"first_gen_imitation",45,"water","awakawush"
"first_gen_imitation",45,"water","awakshuashu"
"first_gen_imitation",45,"water","awwah-chowah"
"first_gen_imitation",45,"water","glonglon"
"first_gen_imitation",47,"zipper","choo"
"first_gen_imitation",47,"zipper","heerouf"
"first_gen_imitation",47,"zipper","zoop"
"first_gen_imitation",48,"zipper","arrgt"
"first_gen_imitation",48,"zipper","briww"
"first_gen_imitation",48,"zipper","broo"
"first_gen_imitation",49,"zipper","beehzuhp"
"first_gen_imitation",49,"zipper","bzzzzup"
"first_gen_imitation",49,"zipper","grrir"
"first_gen_imitation",49,"zipper","zerp"
"last_gen_imitation",34,"glass","da da da"
"last_gen_imitation",34,"glass","deetdedededeet"
"last_gen_imitation",34,"glass","dundunduh"
"last_gen_imitation",38,"tear","ch-shhh ch-shhh"
"last_gen_imitation",38,"tear","cheecheea"
"last_gen_imitation",39,"tear","a-ch-ch-ewwwww"
"last_gen_imitation",39,"tear","achechecheww"
"last_gen_imitation",39,"tear","cheeoooo"
"last_gen_imitation",39,"tear","clchclchclchclchww"
"last_gen_imitation",40,"tear","chhhhhhewwwe"
"last_gen_imitation",40,"tear","schoo"
"last_gen_imitation",41,"tear","cheea"
"last_gen_imitation",41,"tear","fussshhh"
"last_gen_imitation",41,"tear","sheah"
"last_gen_imitation",41,"tear","sheyah"
"last_gen_imitation",41,"tear","shhhh"
"last_gen_imitation",41,"tear","shhhhh"
"last_gen_imitation",41,"tear","shhhhhh"
"last_gen_imitation",41,"tear","shhhhhhh"
"last_gen_imitation",42,"water","eaverlusha"
"last_gen_imitation",42,"water","eeverlusha"
"last_gen_imitation",42,"water","everlutia"
"last_gen_imitation",43,"water","cheiopshpshcheiopsh"
"last_gen_imitation",43,"water","chew spish spiw spew spiw"
"last_gen_imitation",45,"water","glong-glong"
"last_gen_imitation",47,"zipper","bizz"
"last_gen_imitation",47,"zipper","dzzzzz"
"last_gen_imitation",47,"zipper","tzzz"
"last_gen_imitation",47,"zipper","veeb"
"last_gen_imitation",47,"zipper","veeeep"
"last_gen_imitation",49,"zipper","ewep"
"last_gen_imitation",49,"zipper","ewwhip"
"last_gen_imitation",49,"zipper","izit"
"last_gen_imitation",49,"zipper","izzip"
"sound_effect",34,"glass","atinga"
"sound_effect",35,"glass","clappun"
"sound_effect",35,"glass","clinket"
"sound_effect",36,"glass","chank"
"sound_effect",36,"glass","cleek"
"sound_effect",36,"glass","cliq"
"sound_effect",36,"glass","tink"
"sound_effect",37,"glass","buink"
"sound_effect",37,"glass","claink"
"sound_effect",37,"glass","dink"
"sound_effect",37,"glass","tink"
"sound_effect",38,"tear","creech"
"sound_effect",38,"tear","crizzz"
"sound_effect",39,"tear","crisshhh"
"sound_effect",40,"tear","*crrrrrrrrck*"
"sound_effect",41,"tear","crish"
"sound_effect",42,"water","pushawater"
"sound_effect",43,"water","*splishsplashsplishsplishsplash*"
"sound_effect",44,"water","bloosh"
"sound_effect",44,"water","guplunk"
"sound_effect",45,"water","balooshboosh"
"sound_effect",45,"water","blowosh"
"sound_effect",45,"water","buhlorghorgh"
"sound_effect",47,"zipper","brrip"
"sound_effect",47,"zipper","growwff"
"sound_effect",48,"zipper","fwip"
"sound_effect",48,"zipper","zup"
